name,photo_1,description_long,description_short,neighborhood,source1,source2,source_article1,source_article2,category,picture_cred

Paper Platez Food Truck,https://assets3.thrillist.com/v1/image/3024690/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"For fans of La Bamba, the long-time taqueria that moved from San Francisco to various parts of Silicon Valley over the years, Paper Platez is where to find the latest incarnation of the family-owned business. Opened in December 2020, the official menu is a pared-down version of what you’ll find on offer at their brick-and-mortars, offering classics like a carnitas super burrito, pupusas as a nod to the Muñoz family roots in El Salvador, and more recently, popular items like quesabirria tacos. Old customers, however, can still get off-menu items they miss from the restaurants, like the cheesy chile relleno burrito.
How to order: Walk up to the food truck that’s usually located outside of O’Malley’s Pub. Follow the Instagram account for other potential whereabouts.",Mexican Restaurant,Mountain View,Thrillist,,15 Essential Restaurants You Need to Know in Silicon Valley,,food,@paperplatezfoodcart

Sifu Wong Kitchen,https://assets3.thrillist.com/v1/image/3024691/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Dim sum hounds would follow Chef Dongcheng Wong of Cooking Papa and Hong Kong Flower Lounge anywhere. Luckily, following opening delays caused by an indoor dining ban, Chef Wong got to debut his new quality restaurant this spring. Named after himself, Sifu Wong sits inside the Ramada Silicon Valley. Enjoy classics like shrimp-stuffed har gow in a silky dumpling skin and soft steamed rice noodle rolls filled with beef. The crispy pork belly and rich-tasting Peking duck are must-haves. Also enjoy the addition of modern, social media-friendly dishes like the Black Gold Salty Egg Yolk Bun, covered in a swipe of glittery edible paint and oozing with a melty custard.
How to order: Walk-ins only for weekend lunch; Call 408-212-4903 for reservations. Order online for pickup.",Chinese Restaurant,Sunnyvale,Thrillist,,15 Essential Restaurants You Need to Know in Silicon Valley,,food,Sifu Wong Kitchen 御景閣

Angkor Chef,https://assets3.thrillist.com/v1/image/3024695/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"It may not be a brick-and-mortar place, but Cambodian food is not as plentiful in the Bay Area as fans would like, and Angkor Chef offers an extensive menu of starters, street food, classics, a decent number of vegan offerings, and Angkor-branded condiments like chili paste. Signature dishes include coarsely-ground chicken or pork sausages (twah goh) flavored with fresh galangal, rice, salt and sugar. These can be accompanied by pickles or arugula. Pair that with poat ang (Cambodian grilled corn) cooked in coconut milk, white pepper, and fish sauce. End with the sweet jackfruit sticky rice dotted with roasted mung beans.
How to order: Call 408-809-1639 for pickup or order ChowNow, Uber Eats, or other delivery apps for pickup and delivery options.",Cambodian Restaurant,San Jose,Thrillist,,15 Essential Restaurants You Need to Know in Silicon Valley,,food,Angkor Chef

iCHiNA,https://assets3.thrillist.com/v1/image/3024696/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"It’s not the first restaurant in SV to utilize the iPhone naming convention (looking at you, iTalico), but aside from that questionable practice, the opulent iChina opened in August to great reception. Drenched in a dreamy turquoise color palette, a paneled glass chandelier anchors the main dining room, with translucent blue floor-to-ceiling room partitions and art deco-inspired gold wall panels surrounding the commanding long center dining table. There’s also the JiuBa cocktail lounge and several private dining areas in the two-story space. And, oh yes, the food. It’s a New American Chinese concept, combining executive chef Eddie Lam’s Chinese and pan-Asian American cooking sensibilities with local ingredients. The current $88 Tasting Menu with a $30 A5 Wagyu substitute option features seven dishes. Museum-worthy plates include a pampered lobster dumpling topped with scallop brûlée and curated caviar selection, and a triple-rich XO rice with duck confit, duck egg, and duck breast.
How to order: Make reservations online.",Cantonese Restaurant,Santa Clara,Thrillist,,15 Essential Restaurants You Need to Know in Silicon Valley,,food,@ichinarestaurant

10 Butchers,https://assets3.thrillist.com/v1/image/3024697/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Angelenos may complain that the Bay Area doesn’t have good Korean food, but 10 Butchers would be the Korean BBQ showcase diamond around these parts. The 10 types of farm-to-table Wagyu beef available at each meal is what draws SF and East Bay folks south to Sunnyvale. The beautifully marbled beef provides a delightful visual experience upon arriving raw at each table. It’s like being presented with works of art in the form of expertly cut rectangles of Wagyu flaps or thinly sliced and perfectly rolled pieces of Wagyu brisket. There are also stews and soups, like kimchi jjigae and the cold myung naeng myun. Check out the abundant to-go packages if you want to feast at home, all of which come with seven types of banchan and doenjang jjigae (fermented soy bean paste stew with Wagyu beef, and tofu).
How to order: Walk in, make reservations, or order the to-go special online.",Korean Restaurant,Sunnyvale,Thrillist,,15 Essential Restaurants You Need to Know in Silicon Valley,,food,10 Butcher's Korean BBQ

Killiney Kopitiam,https://assets3.thrillist.com/v1/image/3024702/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Singaporean food is another Asian cuisine sorely underrepresented among Bay Area food offerings. The joy of having the US flagship location of the internationally loved Killiney Kopitiam land in Palo Alto launched kaya toast wishes and nasi lemak dreams for peninsula residents. Sip on a Kopi C (coffee with evaporated milk and sugar) or any of the other 18 coffee and tea offerings, and chow down on the filling and comforting char kway teow—stir-fried flat, wide rice noodles with shrimp, fish cake, Chinese sausage, egg, bean sprouts, and sambal chili. More good news is that additional locations are planned for Cupertino, Livermore, Walnut Creek, and Westfield Valley Fair Mall in Santa Clara.
How to order: Walk in or call 650-752-6039 for takeout.",Singaporean Restaurant,Palo Alto,Thrillist,,15 Essential Restaurants You Need to Know in Silicon Valley,,food,Killiney Kopitiam Palo Alto

Tiger Sugar,https://assets3.thrillist.com/v1/image/3024703/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"At this point, the Bay Area has welcomed the brown sugar boba craze with open taste buds. The cascade of brown sugar syrup swirling in fresh milk atop chewy boba is not only in every major Bay Area city at various shops, it now also comes in ice cream bar form at Safeway. It’s in mochi form at Costco. Food nerds, however, will want to make a pilgrimage to Tiger Sugar in Cupertino. It’s the only Northern California location of the Taiwanese boba chain that’s responsible for popularizing the brown sugar boba trend. Guzzle down the signature Black Sugar Boba Milk with Cream Mousse, add green or black tea to the original version, or get the Tiger Sugar brand ice cream bars and Tiger Sugar Popcorn to restart the sugar hit when the last boba pearl has been sucked up.
How to order: Walk in or order takeout online.",Boba Shop,Cupertino,Thrillist,,15 Essential Restaurants You Need to Know in Silicon Valley,,coffee,Tiger Sugar

Ube Mami,https://assets3.thrillist.com/v1/image/3020972/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"“Vegan Filipinx Baked Goods” is what you need to know about this pop-up that officially debuted in January of this year. Using rich coconut milk and homemade vegan butter, Ube Mami sells ube and buko pandan (young coconut and screwpine leaves), pan de sal, crinkle cookies, cupcakes, and more at festivals and restaurants all over the Bay Area. Owner Desirae Devis sometimes offers a San Bruno pick-up point for those in the upper peninsula, as well. Her plant-based baked treats come in various cute boxed sets so you don’t have to agonize over choosing just one thing. It’s exciting to see Ube Mami debut new goods during each drop, like mini turon-flavored bundt cakes and Ube Oreo-Rice Krispies bars.
How to order: Follow the Instagram account for pop-up location dates and times.",Filipino Bakery,San Bruno and various locations,Thrillist,,10 Sweet Filipino Dessert Spots in the Upper Peninsula,,coffee,@ubemami.bakedgoods

Magnolia Ice Cream & Treats,https://assets3.thrillist.com/v1/image/3020976/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Halo-halo. Halohalo. Or, according to the Komisyon sa Wikang Filipino (Commission on the Filipino Language)—haluhalo. However you spell it (from ihalo, “to mix” in Tagalog), halo-halo is an icy dessert delight that has infinite possibilities, and the nearly 100-year-old Filipino food company Magnolia is famous for it. Halo-halo often comes with some mixture of crushed ice, ice cream, fruit, jelly, and beans. A vibrant purple ube ice cream layer contrasted with chunks of golden mango and dots of dark red adzuki beans makes for a treat that’s as good to look at as it is to eat. You can even book your own halo-halo or ice cream bar from Magnolia. Macapuno (coconut), mango, and mais queso (corn and cheese) ice cream flavors await you.
How to order: Walk in.",Filipino Bakery,South San Francisco,Thrillist,,10 Sweet Filipino Dessert Spots in the Upper Peninsula,,coffee,Magnolia Ice Cream & Treats

Valerio's Tropical Bakeshop,https://assets3.thrillist.com/v1/image/3020979/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"From the Philippines to Southern California to the upper peninsula and all over California, Valerio’s first gained fame from its yeasted, twisted deep-fried dough called bicho-bicho (like a Filipino donut). Today the bakery is known for its pillowy pan de sal rolls, as well as ube ensaymadas (sweet dough pastries with cheese), custardy leche flan, and various kakanin (glutinous rice flour) desserts such as the chewy, coconut-y bibingka and the brown sugar-laced kutsinta. Don’t skip the savory baked goods like the empanadas and cheese pimiento, either.
How to order: Walk in or call to place an order.",Filipino Bakery,Daly City and South San Francisco,Thrillist,,10 Sweet Filipino Dessert Spots in the Upper Peninsula,,coffee,Valerio's Tropical Bakeshop

Starbread Bakery,https://assets3.thrillist.com/v1/image/3020982/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"We’ve already professed our love for Starbread, so of course it deserves a spot on this list. The famed señorita bread comes out steaming hot, melting the butter inside the little log rolls that are crisp on the outside, and softly chewy on the inside, all mingling with bits of white sugar in every bite. While you’re there, though, also consider picking up a grated cassava cake sweetened with condensed milk and coconut, or the crumbly shortbread polvoron. The Pacifica location has a bigger case of other baked goods to choose from, like seven(!) other flavors of señorita bread such as guava and Nutella. Or try the fruit empanada of the day or a coconut tart.
How to order: Walk in or call ​650-733-7750 to place an order.",Filipino Bakery,Daly City & Pacifica & other Bay Area locations,Thrillist,,10 Sweet Filipino Dessert Spots in the Upper Peninsula,,coffee,@starbread_bakery

Binka Bites,https://assets3.thrillist.com/v1/image/3021013/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"The Binka Bites concept is a fun ode to owners Jo and Jas Ongsiako’s childhood favorite food, bibingka—a chewy coconut and rice flour cake. The bakery walk-up window offers different flavored, bite-sized versions of bibingka (or bibingka-inspired goods, like mochi muffins), both sweet and savory. Try an ube cupcake topped with a square of leche flan or a small heap of langka or macapuno. Or a special mini cake made to order with black sesame whipped cream, sliced banana, and a drizzle of maple syrup. On the savory side, sink your teeth into a honey-cheddar-jalapeño or pepperoni BinkaPizza muffin. The drinks game is strong, too, presenting instant new classics such as calamansi matcha and dulce de leche milk tea.
How to order: Walk up to the window or order online for pickup or delivery.",Filipino Bakery,,Thrillist,,10 Sweet Filipino Dessert Spots in the Upper Peninsula,,coffee,Binka Bites

The Bread Basket Bakery,https://assets3.thrillist.com/v1/image/3020986/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Of course all things bread like pan de sal and pan de coco (filled with sticky coconut-caramel sauce) are at this family-owned bakery that’s nearly 50 years old. But there’s so much more than the delicious types of bread. Load up on the ube tarts, braided Nutella loaves, and varieties of the Visayan specialty suman, which is glutinous rice wrapped and steamed in banana leaves. There are new items every season, too, like the towering cinnamon buns that just debuted a few weeks ago. Fingers crossed for the return of pumpkin whoopee pies this fall.
How to order: Walk-ins only.",Filipino Bakery,Daly City,Thrillist,,10 Sweet Filipino Dessert Spots in the Upper Peninsula,,coffee,The Bread Basket Bakery

Auntie Em's Fine Foods and Pastries,https://assets3.thrillist.com/v1/image/3020990/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Fans of halo-halo can find it in cake form at Auntie Em’s, which is a popular item that’s unique to the bakery. Alternating layers of pandan and ube cakes are nestled between tons of fluffy, fresh whipped cream, making it a decadent treat for special occasions like graduations. Dulce de leche ensaymadas are a sweeter take on the traditional coiled brioche roll. Also try the salty-sweet cheese rolls or flaky guava turnovers. For something more traditional, go for the sapin-sapin, which is one of the many glutinous rice cakes the Philippines is known for, but with colored layers flavored with langka, macapuno, and ube halaya (Filipino purple yam jam).
How to order: Walk in or call 650-588-6068 24 hours in advance for pick-up.",Filipino Bakery,South San Francisco,Thrillist,,10 Sweet Filipino Dessert Spots in the Upper Peninsula,,coffee,Auntie Em's Fine Foods and Pastries

Red Ribbon Bakeshop,https://assets3.thrillist.com/v1/image/3020997/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"The bakery chain, started in the Philippines in 1979, is well-known for its meat-filled empanadas. But the number of sweet options far outweigh the savory, and the shelves lined with full-sized cakes and individually wrapped baked goods can’t be overlooked. Have a special occasion coming up? Order a yema (Filipino custard) caramel or sans rival (layered cashew) cake. Red Ribbon is also famous for it’s mamon (sponge cake). Try the original butter one, or get a bit more decadent with chocolate, cheese, ube, or mocha flavors.
How to order: Walk in or order online for pick-up or delivery.",Filipino Bakery,Daly City,Thrillist,,10 Sweet Filipino Dessert Spots in the Upper Peninsula,,coffee,Red Ribbon Bakeshop USA

House of Silvanas Bakeshop,https://assets3.thrillist.com/v1/image/3021001/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Remember the macaron craze? (Are we still in it?) Trend or no trend, the Filipino version of macarons, silvanas, may be better than the original thanks to centers that are filled with buttercream and then frozen. The little treat is almost like a macaron-ice cream sandwich hybrid. What’s more, the wafers are made of cashew meringue, and the whole silvana is coated in cookie crumbs. Talk about a nutty, creamy, melty, delicate, slightly crunchy experience in just two bites—almost a cookie version of the shop’s famed sans rival cake. There are seven flavors, original buttercream and buko-pandan among them. Oh, there are other exciting desserts at Silvana’s, too. Calamansi squares are a tropical take on lemon bars, and the chocolate ensaimadas come with a chocolate (surprise!) filling that the original ones don’t.
How to order: Walk in or order online for pickup. Pick-up is available at Chibog Restaurant during days when the bake shop is closed.",Filipino Bakery,Daly City,Thrillist,,10 Sweet Filipino Dessert Spots in the Upper Peninsula,,coffee,"HOUSE OF SILVANAS BAKESHOP - DALY CITY, CA"

Goldilocks,https://assets3.thrillist.com/v1/image/3021010/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"There’s hardly a mall in the Philippines that doesn’t have a Goldilocks bakeshop and restaurant. That’s not quite the case in the Bay Area, but there are several locations throughout. The 55-year-old company offers some classic Filipino savory meals like breakfast silogs and chicken adobo, but it’s the baked goods that many people associate with Goldilocks. You can even mail order care packages full of ensaymadas (from original to macapuno) or the Ube Obsession box (full of polvoron, crinkle cookies, a cake roll, and more) to loved ones. In-store, you can get halo-halo or whole specialty cakes, most of which are made with a light chiffon base and come in varieties like Mangolicious and Choco Mocha Crunch.
How to order: Walk in, order pickup and delivery online, or mail order.",Filipino Bakery,Daly City & South San Francisco & other Bay Area locations,Thrillist,,10 Sweet Filipino Dessert Spots in the Upper Peninsula,,coffee,Goldilocks

Sunset Squares Pizza,https://assets3.thrillist.com/v1/image/3019724/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Sunset Squares popped up as an Instagram-based restaurant with a super-secret chef during COVID (you had to DM to place your order), but now the truth has been revealed: the chef behind the Detroit-style (ish) pies is Dennis Lee, co-owner of the Namu Stonepot mini-franchise, which makes a lot of sense when you consider the creative options, like the General Mapo (house-made Mapo Tofu, Tokyo turnips, Sichuan peppercorn) and the Bulldog (grass-fed bulgogi beef, kimchee, kewpie mayo, bulldog sauce, bonito flakes). Not into Asian-Detroit-fusion pizza? The classics are also available.
How to enjoy: From the Divisadero location: Order for pickup or delivery (DoorDash, Uber Eats). From the Mid-Market location: Order for pickup or delivery (DoorDash or Uber Eats).",,Mid-Market and Western Addition,Thrillist,,17 Pizza Spots in San Francisco for a Legit Slice,,food,Sunset Squares Pizza

Delarosa,https://assets3.thrillist.com/v1/image/2899692/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"There are two Delarosa’s about three miles from each other, which means wherever you are in this 7x7 town, you won’t have to trek too far to get your Roman-style pizza fix. We love this pizzeria because the cocktails are on point, and the thin, crispy wood-fired pizza never fails to satisfy our late-night pizza cravings (although it’s worth noting that “late night” is not quite as late as it used to be). You can go with a classic flavor like margherita, but the more elaborate options, like a Bartender Pizza that’s decorated with marinara, burrata, olives, spicy fennel sausage, and calabrian chilies are hard to resist. And there’s even vegan cheese and sausage if that’s your thing. Right now, both spots are open for al fresco and indoor drinking and dining.
How to enjoy: Reservations are available at the Yerba Buena location and the Marina location. You can also put yourself on a waitlist via Yelp or get takeout or delivery online.",Italian Restaurant,Marina and SoMa,Thrillist,,17 Pizza Spots in San Francisco for a Legit Slice,,food,Delarosa

Capo's,https://assets3.thrillist.com/v1/image/2899694/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"If you want to experience almost all of 13-time World Pizza Champion Tony Gemignani’s styles of pizza, you can do so at Tony’s Pizza Napoletana, where there are 12 different styles of pizza on the menu. But if you want authentic, Chicago-style pizza served on five types of crusts (deep dish, eight-inch deep dish, cast iron pan, cracker-thin, and stuffed), you’ll have to trek two blocks to Capo’s, a neighborhood joint that caters to tourists and locals alike and feels like it was always meant to be a part of the North Beach food landscape. Each style is made with Ceresota Flour from one of the oldest mills in Chicago, and our favorite is the Italian Stallion (mozzarella, fontina, Italian beef, Chicago Italian sausage, horseradish cream sauce, chives, sweet peppers, and Romano). And while the pizza is enough to keep us coming back, it’s worth mentioning that there are over 100 whiskies on the menu. (Capo’s also recently added Detroit-style pizza, but as tempting as it may be, that’s not why you’re there, so stay focused.)
How to enjoy: Capo’s is open for indoor and outdoor dining Wednesday-Sunday. Walk-ins only. You can also get takeout or delivery online.",Italian Restaurant,North Beach,Thrillist,,17 Pizza Spots in San Francisco for a Legit Slice,,food,Capo's SF

Gialina Pizzeria,https://assets3.thrillist.com/v1/image/2899702/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"If you really love pizza, then you definitely won’t mind the trip “all the way” to Glen Park to pick up Gialina’s pies that some (ahem, Michael Bauer) say are the best in the Bay Area. We don’t know if we’d take it that far, but the handmade, thin-crust Neapolitan-style pizzas (baked in —gasp!—a gas oven, not a wood-fired one) are phenomenal. There are over ten rotating pizzas to choose from with ingredients based on seasonality, but if the Wild Nettles with pancetta, mushrooms, red onions, and aged Italian provolone is on the menu, get it. You can also add a farm egg to any pizza, and they’re all available with a gluten-free crust.
How to enjoy: Make a reservation for indoor dining online or order for pickup.",Italian Restaurant,Glen Park,Thrillist,,17 Pizza Spots in San Francisco for a Legit Slice,,food,Gialina Pizzeria

Goat Hill Pizza,https://assets3.thrillist.com/v1/image/2899607/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Goat Hill Pizza sometimes gets overlooked because it’s such a neighborhood spot, but if you haven’t had it recently, change that immediately because it has some of our favorite crust out of any pizza on this list. It’s not Neapolitan (how much Neapolitan pizza can one person eat?). It’s not deep-dish. It’s pizza like what you loved when you were a kid, only so much better because now you’re old enough to appreciate the sourdough crust that is somehow crunchy and chewy all at the same time. Not sure which one to order? Hilda’s Favorite (goat cheese, pesto, tomato) named after the mama goat who used to roam the lot behind the original Potrero location with her two kids) is our go-to. The Saltimbocca (chicken, bacon, garlic sauce, sage, lemon) added last year has also become a favorite with diners.
How to order: Right now, Goat Hill Pizza is sticking with takeout and delivery. Order for the Potrero Hill location here, the SoMa location here, and the West Portal location here.",Pizza Shop,Potrero Hill & SoMa & West Portal,Thrillist,,17 Pizza Spots in San Francisco for a Legit Slice,,coffee,Goat Hill Pizza

Little Star Pizza,https://assets3.thrillist.com/v1/image/2899722/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Little Star’s cornmeal crust is just so satisfying, there was no way we could omit this Bay Area favorite. Our go-to pie is the Little Star (spinach blended with ricotta and feta, mushrooms, onion, and garlic), but there’s also an option to build-your-own, which can be hard to resist (though can also get a little out of hand and not just because this pizza is easier to eat with a knife and fork). FYI: Gluten-free options are only available in thin crust.
How to enjoy: Little Star is open for walk-ins, takeout, and delivery online via Uber Eats.",Pizza Shop,Western Addition,Thrillist,,17 Pizza Spots in San Francisco for a Legit Slice,,coffee,Little Star Pizza

Pizzeria Delfina,https://assets3.thrillist.com/v1/image/2899729/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"There’s almost always a crowd waiting for a table at both of Pizzeria Delfina’s locations, a concept “inspired by the best pizzas of New York City and Naples, Italy'' from the team behind popular Italian restaurant Delfina. While the wait is worth it, you also don’t have to since delivery and takeout are now options. We’re obsessed with the Clam Pie, so we like to get that and a Napoletana (tomato, anchovies, capers, hot peppers, olives, oregano) to share.
How to enjoy: Indoor and outdoor dining are available at the Lower Pac Height location, as well as delivery and takeout. Pickup and delivery only (for now) at the Mission spot. Frozen pizzas are available to be shipped nationwide.",Pizza Shop,Mission and Lower Pacific Heights,Thrillist,,17 Pizza Spots in San Francisco for a Legit Slice,,coffee,Pizzeria Delfina

Pizzetta 211,https://assets3.thrillist.com/v1/image/2899735/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Pizzetta 211’s outdoor tables are just about as hard to get as their four indoor tables used to be, so we still suggest you try going there for lunch or at off-peak hours to get your crispy thin-crust pizza fix (or, if you prefer, order it to-go). The tomato, mozzarella, basil, and pepperoni pizza is consistently delicious, but we’re really crazy about the rotating specials, especially any pie with a farm egg. Really everything that comes out of the kitchen is drool-worthy, so you’re in for a treat no matter what.
How to enjoy: Pizzetta 211 is open for outdoor dining (walk-ins only) and takeout.",Pizza Shop,Outer Richmond,Thrillist,,17 Pizza Spots in San Francisco for a Legit Slice,,coffee,Michelle Nimo

Tony’s Pizza Napoletana,https://assets3.thrillist.com/v1/image/2899747/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Tony’s is the home of the 13-time World Pizza Champion, Tony Gemignani, which is probably all you really need to know, but since you made it this far, we’ll also let you in on the fact that many of the ingredients are imported from Napoli. They also have seven different ovens to accommodate 12 styles of pizzas: Napoletana, Californian, classic American, classic Italian, coal-fired, New York, Sicilian, Pizza Romana, Detroit, St. Louis, grandma, and gluten-free, all of which easily compete for some of the best pizza you’ll eat in SF. Obviously, you need to make it your mission to eat every single type, but we suggest starting with the Margherita Napoletana, the World Pizza Cup winner in Naples, Italy (only 73 are made each day), and the Don Giovanni, which is coal-fired in a 1,000-degree oven, and topped with vodka tomato cream sauce. There are also some excellent appetizers—like the meatball gigante, which is probably a pound of veal, pork, and beef (get the one topped with a farm egg and calabrese). Of course, there are great cocktails and a fantastic selection of wine. Tony’s recently received Wine Spectator’s Award of Excellence for its outstanding wine program for the fifth year in a row.
How to enjoy: Tony’s is offering indoor seating and outdoor dining (walk-ins only). Delivery and takeout are also available online.",Italian Restaurant,North Beach,Thrillist,,17 Pizza Spots in San Francisco for a Legit Slice,,food,Tony's Pizza Napoletana

Zero Zero,https://assets3.thrillist.com/v1/image/2899611/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"Zero Zero is less of a “pizza spot” and more of a slightly fancy restaurant that serves really good pizza, making it a perfect option when you want to dine with a group of friends or enjoy dinner with a date. No, seriously, even if your date doesn’t go well, you’ll still enjoy the (more or less) Neapolitan-style pizza, which always comes out of the oven with a crust that has a few blackened blisters, and the perfect ratio of crunch to chew. There are a bunch of pizzas on the menu, many of which are named after SF streets and neighborhoods, but the margherita is the one that wins our hearts again and again. Lately, we’ve also been adding a pasta dish to our order, plus the soft serve, and fine: also an order of cannolis. Zero Zero also has a great cocktail list, a couple of which you can get to-go, as well as flash-frozen pizzas, the perfect addition to your order so you can take comfort in knowing there’s always one waiting for you in the freezer. (Until you eat it, anyway.)
How to order: Make a reservation for indoor or outdoor dining, or order online for takeout or delivery.",Italian Restaurant,SoMa,Thrillist,,17 Pizza Spots in San Francisco for a Legit Slice,,food,Zero Zero SF

The Pizza Place on Noriega,https://assets3.thrillist.com/v1/image/2899609/750x500/flatten;crop;webp=auto;jpeg_quality=50.jpg,"The Pizza Place on Noriega is the place to go when you just want good pizza in a super friendly and laid back environment without an ounce of pretense. After working up your hunger with a walk on Ocean Beach, grab a seat inside, in the parklet, or on the back patio (heated when necessary) where you can sit at a picnic table and drink a cold beer while waiting for your enormous 20” pizza to be hand-tossed to order and then baked in a traditional oven (i.e., arrive thirsty, but not on the verge of hangry, ‘cause you’re gonna have to wait about 30 minutes before your pie is ready). Oh, and since it’s SF, every pie can also be made with a homemade gluten-free, vegan dough.
How to order: Make a reservation online. You can also order curbside pickup and delivery online.",Pizza Shop,Outer Sunset,Thrillist,,17 Pizza Spots in San Francisco for a Legit Slice,,coffee,The Pizza Place on Noriega

La Palma Mexicatessen ,https://nebula.wsimg.com/abc4c8e398cb6f4bc797bc4ba6c4d158?AccessKeyId=A837F68AD88155A03A1C&disposition=0&alloworigin=1,"La Palma has been selling Mexican food and groceries to locals since 1953 and it’s still going strong, in part because of the fresh masa used to make what are probably the best tortillas (pressed to order) in the city. The chicharrones might also take home that honor, so don’t skip those. Only caveat? If you want to enjoy any of this, you’ll have to show up between 9 am and 4 pm—so plan on having a big breakfast or lunch. ",Taqueria,Mission ,Thrillist,,The 10 Best Mission-Style Burritos in San Francisco,,food,

El Toro Taqueria,https://tableagent.s3.amazonaws.com/media/originals/2903_7524.jpg,"You can order your standard Mission burrito at El Toro or you can go with one of El Toro’s “new style” burritos. The restaurant prides itself on innovating the classic burrito and has become popular for its chile relleno version, which is exactly what it sounds like. Other favorites are a twist on surf and turf—a steak and prawns burrito—and the Especial: build it like a normal burrito, but get it smothered with a savory sauce and topped with cheese. Yes, that means you’ll have to use a fork and knife. And yes, you’ll get over it. ",Taqueria,Mission,Thrillist,,The 10 Best Mission-Style Burritos in San Francisco,,food,

Pancho Villa Taqueria,https://sfpanchovilla.com/images-pancho-villa-mexican-restaurant-san-francisco/slides/mexican-restaurant-pancho-villa-san-francisco-18.jpg,"Owned by the same folks behind El Toro Taqueria, Pancho Villa is a good entry point for SF burrito newbies. The burrito options are pretty much the same as El Toro’s, but you’ll wait in longer lines. Your reward for doing so is access to the salsa bar where you’ll find the regulars, as well as orange volcano sauce, fire-roasted red chile sauce, stone-ground molcajete sauce, and more.",Taqueria,Mission ,Thrillist,,The 10 Best Mission-Style Burritos in San Francisco,,food,

El Faro,https://s3-media0.fl.yelpcdn.com/bphoto/YPd5y7o_JQ2N6b_0B74IUA/348s.jpg,"There are claims that El Faro’s owner created the first real Mission-style burrito when he made a bunch of burritos with two six-inch tortillas (later changed to one big one) for a group of firemen in 1961. We will never know the answer to “Who made it first?”, so just put that aside and enjoy El Faro for what it is—a spot with one of the best breakfast burritos in SF—assuming you like chorizo, that is.",Taqueria,Mission,Thrillist,,The 10 Best Mission-Style Burritos in San Francisco,,food,

Papalote Mexican Grill,https://media-cdn.tripadvisor.com/media/photo-s/08/0d/0e/0f/papalote-mexican-grill.jpg,"Papalote’s famous roasted tomato sauce can be found by the jar in specialty markets all over the city, but if you want to eat the freshest version possible, make your way to one of Papalote’s restaurants. There, you’ll find the usuals, plus a bunch of plant-based options that will put an enormous smile on any vegan or vegetarian’s face—the beans and rice are all vegan and there are non-meat protein choices like vegan soyrizo, vegan tofu, and a couple of veggie medleys. Papalote also takes the whole healthy thing to the next level with its “naked” option, which subs lettuce instead of a tortilla.",Taqueria,Mission and Western Addition,Thrillist,,The 10 Best Mission-Style Burritos in San Francisco,,food,

La Taqueria,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a885e30c287744a9801be1146f0497d4,"People have big opinions when it comes to burritos, especially when it comes to La Taqueria burritos. Once named “America’s best burrito” by FiveThirtyEight, La Taqueria’s fans are die-hard. You might be, too, as long as you don’t require rice in your burritos because La Taqueria doesn’t have any. It’s actually kind of great in that rice can end up being a filler ingredient, but we also appreciate its presence at times, so don’t @ us. Take your burrito to the next level by getting it “dorado-style,” and your burrito-builder will assemble it and then grill it on the plancha until it’s golden brown and perfectly crispy. ",Taqueria,Mission ,Thrillist,,The 10 Best Mission-Style Burritos in San Francisco,,food,

